trip_distance,pickup_hour,surge_multiplier,wait_time,driver_rating,previous_cancellations,rain,traffic_level,cancel_trip
1.4708791104861472,13,1.0,8.314104550919664,4.825286934490789,0,0,1,0
4.30169666508408,17,1.5796430366642111,10.458665996877015,4.722678878393338,1,0,2,1
9.524363136174074,7,1.547025104499591,15.955003712918383,4.590518495446625,0,0,3,0
9.931683501100048,19,1.84122620306801,13.236359292032645,4.498417660914359,1,1,3,1
9.781945969062019,8,1.9405824086673813,16.59548272228575,4.845703728702907,0,1,3,0
6.942872758105453,22,1.096093217860826,5.394930381046976,4.8493961680209425,3,0,1,0
5.425093333686841,1,1.1676091146784078,8.510196221198143,4.91803669420409,3,0,2,1
5.463567548155888,12,1.076540215601335,3.7682074447640654,4.945406919409774,2,0,1,0
7.582936802118644,20,1.7523342776481945,13.274512043843647,4.931967993277669,1,1,3,0
1.768841853139091,0,1.186404853041176,7.84328482530084,4.850683892700486,2,0,1,0
6.585586893733199,4,1.287754755345142,8.779290742778839,4.658266325755907,2,0,2,1
6.2176987900196785,15,1.0571141242038073,6.658725200550626,4.664480801048253,0,0,1,0
8.693263945712221,2,1.0,6.903710154423544,4.988388480390521,1,0,1,0
3.943014997030489,18,1.4336835409873818,9.188322879976722,4.198685685892657,0,0,2,1
10.887009250907816,5,1.0216689097497673,3.041866460034273,5.0,1,0,1,0
4.599785778833886,9,1.5575561925830366,8.266265737223677,4.6919332179571915,2,0,2,0
2.4851105747338584,16,1.0859630786854846,3.418383718559296,4.679282629318844,1,0,1,0
1.0925208429709825,9,1.66639862798081,10.309181121704414,4.791798800334858,0,0,2,0
1.2846396457253508,13,1.0378046260427882,6.539521271529481,4.48429745172708,0,0,1,0
4.758277873005925,22,1.2230711749074963,10.154953097002833,4.6479381917457125,3,0,2,1
7.6110200704018975,18,1.7302322900348277,14.833918193255993,4.8927850846111145,0,0,3,0
6.237080510259069,7,1.4797394227081926,9.128392055916787,4.700221988937459,1,0,2,0
10.486040766174723,21,1.0092935652682977,7.865142417154387,4.932451919501133,0,0,1,1
1.3919128680243629,3,1.6561472629826133,16.875888722639186,4.152171958772506,3,1,3,0
2.7530192438257717,4,1.3433832838659845,7.742249075424072,4.717403296078477,0,0,2,1
